Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
OSMOTIC_STRESS_T0_PE_REP1_R1	19.222057	30.815698	29.472868	29.183078	37.552295	29.160629	28.844309	29.936124	20.99549	31.064672	24.481133	29.174915	24.732148	25.301524	27.544336	29.403482	30.362646	30.16265	30.150405	29.427971	29.364707	29.446939	28.895918	29.367104	28.863581	28.961871	29.434224	29.689159	29.899287	29.566427	29.405853	29.228401	29.212168	29.343162	29.19843	29.290081	29.330526	29.621805	29.489127	29.484246	29.600205	29.353741	29.319395	28.869297	29.595175	29.128198	29.498786	29.201007	29.413259	29.770262	29.790054	29.762878	29.389582	29.567674	29.324539	29.610799	29.556837	29.989017	29.775889	29.834556	29.659993	29.425208	29.592439	29.57899	29.618287	29.627177	29.390621	29.280976	29.201907	28.904863	30.017942	29.971055	29.751037	29.758762	31.325341	35.987289
OSMOTIC_STRESS_T0_PE_REP1_R2	18.83635	30.419787	29.125936	29.125936	37.893104	29.352462	28.546356	29.901431	21.52201	30.5055	24.756638	29.409604	24.803575	25.21173	27.419849	29.37287	30.287137	30.025918	29.736128	29.395318	29.601437	29.126531	29.045491	29.267098	29.190138	29.081706	29.260923	29.452488	29.58204	29.344601	29.209312	29.163075	29.025967	28.900251	28.887884	29.476913	29.318853	29.976387	29.78378	29.562917	29.524582	29.581617	29.302427	28.991097	29.189105	29.25876	29.477959	29.83199	29.852021	29.641808	29.367634	29.591248	29.461267	29.544227	29.671774	29.418835	29.819681	30.069966	29.811729	30.261652	29.808475	29.839524	29.458988	29.681874	29.89609	29.704665	30.159969	29.264247	29.460864	29.839588	29.890014	29.812557	29.957931	29.972653	31.46556	35.695585
OSMOTIC_STRESS_T0_PE_REP2_R1	19.532761	30.678042	29.628987	29.433064	37.726303	29.698428	29.19994	30.392838	21.415108	31.503894	24.892118	29.690988	25.115322	25.946134	27.865681	29.762909	30.943406	30.447398	30.603641	30.226675	30.380437	30.110114	29.527305	29.899311	29.756206	30.0568	29.640473	30.144978	30.009935	30.130245	30.182533	29.905217	29.543531	29.732759	29.696501	29.767233	29.942284	30.095056	30.072004	30.193786	30.080778	30.026428	29.633106	29.028099	29.75382	30.093733	29.82698	29.910641	30.150533	30.459579	30.045596	29.752159	29.961854	29.649526	30.128967	29.503832	30.020655	30.580876	30.075053	30.291109	30.089171	30.001232	30.580232	29.514204	29.899545	29.946507	30.055206	29.860931	30.02736	29.353103	30.171017	30.319931	30.253323	29.994117	31.899332	36.772171
OSMOTIC_STRESS_T0_PE_REP2_R2	19.086355	31.092208	29.678587	29.591786	37.51798	29.256981	28.872576	30.283716	21.402708	30.978126	25.157482	30.157234	24.666435	25.69565	28.401369	30.080353	30.395318	30.57388	30.315957	29.772829	29.470995	29.700637	29.002654	29.963039	29.319242	29.745689	29.809625	29.568931	29.836766	29.315532	30.144041	29.678672	29.539343	29.350345	29.888958	29.848132	29.483702	29.92279	30.131946	30.334236	30.075169	30.358347	29.911006	29.568194	29.684887	30.17179	29.989449	29.931843	30.038483	30.476454	29.905391	29.431202	29.91285	30.133364	29.995071	30.066737	30.793763	30.166965	29.806161	30.011812	30.127147	29.556453	29.909535	30.164253	29.955418	29.951552	30.770714	30.187091	30.085409	29.636316	30.236408	29.984291	29.930198	30.123878	31.997112	36.315549
OSMOTIC_STRESS_T100_SE_REP1	19.228052	30.725922	29.473594	29.214566	37.366472	29.128936	28.805686	29.822533	20.989874	30.86721	24.582022	29.131077	24.860317	25.297027	27.58975	29.37298	30.235695	30.180036	29.918866	29.471453	29.276647	29.454327	29.062574	29.218847	28.842078	28.891315	29.43292	29.629867	29.843941	29.54852	29.288963	29.160853	29.217754	29.331415	29.203654	29.233055	29.535592	29.729086	29.411765	29.540568	29.456517	29.342633	29.260883	28.923204	29.595985	29.001102	29.483477	29.326808	29.499555	29.81066	29.75066	29.868243	29.33205	29.498849	29.285604	29.633393	29.485594	29.912873	29.870617	29.838034	29.606772	29.572447	29.560099	29.622026	29.565267	29.522663	29.277677	29.280817	29.314915	28.912191	30.011403	30.013035	29.661955	29.809991	31.314266	35.943205
OSMOTIC_STRESS_T100_SE_REP2	19.535106	30.433052	29.31858	29.509632	37.337473	29.496365	28.976278	30.061561	21.416441	31.260946	25.086239	29.568009	25.086239	25.707159	27.564613	29.512286	30.533885	30.358754	30.122592	30.125245	30.207504	29.881123	29.504325	29.639654	29.570663	29.857241	29.512286	30.242	30.005838	30.236693	29.909743	29.711858	29.364721	29.608359	29.554106	29.605316	30.1762	29.822485	29.964573	30.058543	29.914436	29.922673	29.468975	29.302808	29.624608	29.681485	29.690603	30.078	30.145919	30.261879	30.016663	29.810811	29.930963	29.694136	29.77438	29.517173	29.814269	30.473748	30.286207	30.070447	29.883789	29.905074	30.437366	29.377516	29.616584	29.698117	29.696763	29.85756	29.907737	29.132023	30.00877	29.887418	29.996058	30.110639	31.804452	36.508187
OSMOTIC_STRESS_T150_SE_REP1	18.550793	30.850709	29.611591	29.657224	38.017762	29.596672	29.015726	30.226762	20.165508	31.951172	24.524361	29.374649	24.85959	25.186043	27.694994	29.180708	29.864329	30.020535	30.098638	29.811675	29.574733	29.14385	28.906031	28.991154	29.17632	29.246525	29.445732	29.718653	29.870472	29.764287	29.486741	29.385322	29.176657	29.196426	29.050265	29.190726	29.322412	29.631467	29.69986	29.754453	29.95847	29.718004	29.285305	29.307772	29.281651	29.271147	29.280982	29.681489	29.664149	29.46532	29.751221	29.46904	29.479888	29.562576	29.216541	29.174007	29.6136	29.752243	29.720337	29.386722	29.53199	29.551033	29.359805	29.164272	29.512292	29.581039	29.4005	29.668173	29.366202	29.76221	29.741631	29.381227	29.465288	29.891629	31.388131	36.220816
OSMOTIC_STRESS_T15_PE_REP1_R1	18.513223	30.822287	29.674988	29.637979	38.151033	29.685923	29.106386	30.309199	20.057533	32.053698	24.469248	29.367135	24.762802	25.108505	27.678992	29.25863	30.098917	29.960972	30.225927	29.76583	29.547137	29.17273	28.821971	29.118194	29.117598	29.208937	29.432997	29.606033	29.908053	29.70307	29.522798	29.420689	29.166456	29.197665	29.051944	29.183254	29.225722	29.529499	29.689691	29.711895	30.031877	29.711253	29.372787	29.305261	29.271969	29.382019	29.349588	29.626907	29.67045	29.502922	29.709458	29.390453	29.4617	29.42395	29.306053	29.130561	29.750739	29.834081	29.573578	29.485978	29.613993	29.499413	29.40438	29.114991	29.653157	29.512664	29.482013	29.686158	29.207693	29.769347	29.743422	29.447011	29.480705	29.808893	31.315007	36.177797
OSMOTIC_STRESS_T15_PE_REP1_R2	17.91434	30.562378	29.334331	29.378911	38.035798	29.470594	29.153489	30.152749	20.560528	31.769396	24.603829	29.689287	24.78383	25.422246	27.633571	29.326761	30.334432	30.357143	30.398358	30.015645	29.517849	29.311418	29.187907	29.207396	28.947346	29.687553	29.351576	29.694036	29.866444	29.14357	29.254275	29.218228	28.932812	29.129866	29.322191	29.207063	29.250201	29.743852	29.77603	29.406963	29.761247	29.459896	29.411199	29.026863	29.441966	29.322529	29.205117	29.552694	29.426128	29.690568	29.588983	29.443259	29.681709	29.147586	29.287041	29.248787	29.541454	29.576304	29.512022	29.679728	29.558447	29.685982	29.485506	29.434435	29.481948	29.404092	29.516127	29.640074	29.671269	29.800575	29.843626	29.452739	29.758692	29.918653	31.398791	35.815035
