Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
OSMOTIC_STRESS_T0_PE_REP1_R1	30.738148	19.201649	20.413869	20.683251	12.46097	20.75876	21.148548	20.181221	28.874921	18.666966	25.283157	21.028142	25.346422	25.10561	22.266893	20.832228	19.960817	19.715924	19.971021	20.332238	20.156731	20.591837	21.016327	20.974754	21.293575	20.601323	20.856729	20.564088	20.083349	20.465288	20.418794	20.843423	20.451186	20.329343	20.381367	20.68419	20.893458	20.492109	20.268442	20.628057	20.094396	19.968782	20.822763	20.650209	20.063205	20.556192	20.377555	20.776099	20.234604	20.209913	20.395749	20.138521	20.346447	20.380742	20.593632	20.62212	20.529165	20.203826	20.09016	20.139431	20.148195	20.480455	20.131021	20.487343	20.769988	20.200348	20.223467	19.926355	20.409264	20.479409	20.285913	20.246762	20.257854	19.711728	17.910987	13.69058
OSMOTIC_STRESS_T0_PE_REP1_R2	31.468746	19.409808	20.742434	21.097529	12.679333	21.103651	21.032224	19.8098	28.483092	19.15267	25.264791	20.715904	24.97296	24.897451	22.60362	20.642436	19.934287	19.883268	20.244485	20.115916	20.464888	21.102041	20.710627	21.107415	20.781288	20.890739	20.065333	20.795638	20.72234	20.361769	20.389704	20.882075	20.562455	20.910846	20.651817	20.676452	20.246526	20.410953	20.265124	20.53995	20.462603	20.24496	20.959983	20.559327	20.517157	20.700809	20.557207	20.220656	20.091419	19.994403	20.177971	20.08175	20.40861	20.239674	20.65794	20.399629	20.227106	20.070476	20.19471	20.19871	20.305809	20.176417	20.480601	20.286991	20.161334	20.281535	19.965442	20.411032	20.304914	20.312231	20.185239	19.981285	20.039106	19.434822	18.094673	14.000444
OSMOTIC_STRESS_T0_PE_REP2_R1	29.966272	19.264917	20.733099	20.470215	12.392738	20.400774	20.790139	19.780765	28.671693	19.192996	24.666435	20.423094	24.696196	24.926839	22.099598	20.929021	19.547641	19.4658	19.659243	19.951887	19.832846	20.442934	20.274292	20.574376	20.242554	19.783218	19.909188	20.217467	19.741679	20.21028	20.222819	20.222902	20.165265	20.388035	20.195017	20.341526	20.288582	19.873427	19.953349	19.687492	20.071002	19.942481	20.164802	20.540413	20.299236	20.554365	19.745877	20.274615	19.84672	19.584718	20.03133	20.092587	20.223184	20.020109	19.817418	20.545901	19.861316	19.633601	19.918943	19.884404	19.565748	19.789357	19.447723	20.001879	19.90144	20.094886	19.591732	19.417853	19.304931	20.036741	19.33115	19.810313	19.515	19.696183	17.508064	13.088484
OSMOTIC_STRESS_T0_PE_REP2_R2	30.350677	19.205397	20.708298	20.385894	12.402659	20.532216	21.167105	19.572442	28.237687	18.987153	24.415952	20.182531	24.795397	24.740836	21.868955	20.371013	19.674123	19.44348	20.095729	20.058529	20.450882	20.481659	20.485155	20.320988	20.432668	20.392011	19.782075	19.936929	20.410445	20.360011	19.785059	19.966648	20.186753	20.287074	20.044916	20.153119	19.983928	20.127675	19.675209	19.43834	19.783247	19.314941	20.137276	20.076356	20.512889	20.400397	20.025431	19.681025	19.708631	19.853186	19.820299	19.905106	19.716906	20.062083	19.951289	20.381103	19.563548	20.152057	19.621337	19.423327	19.771991	19.65293	20.048497	19.823209	20.039839	19.697839	19.314422	19.36622	19.647281	19.769579	19.3762	19.736622	19.646246	19.590786	18.048484	14.251564
OSMOTIC_STRESS_T100_SE_REP1	30.830818	19.215208	20.491084	20.658061	12.617473	20.964186	21.317406	20.262026	28.961959	18.819172	25.359108	21.1226	25.382656	24.982339	22.357802	20.878556	20.013701	19.83602	20.050093	20.272729	20.407595	20.653779	20.983452	21.026267	21.266029	20.745831	20.816475	20.56815	20.017982	20.593839	20.547975	20.95829	20.465526	20.484955	20.580333	20.652829	20.97502	20.445243	20.446833	20.705165	20.139664	20.158058	20.878443	20.626884	20.156588	20.549968	20.521257	20.809262	20.253713	20.312082	20.460207	20.176845	20.466577	20.340066	20.61116	20.594596	20.492041	20.328853	20.251266	20.27418	20.152922	20.524223	20.092611	20.521402	20.958628	20.230932	20.234893	20.058352	20.531927	20.70461	20.303685	20.221892	20.316533	19.828237	18.018386	13.779581
OSMOTIC_STRESS_T100_SE_REP2	30.263228	19.524492	21.127209	20.62835	12.667834	20.707955	21.156398	20.102956	28.870137	19.458154	24.993366	20.676113	25.112774	24.932336	22.334554	21.007801	19.694316	19.765961	19.925171	20.203789	20.129491	20.644271	20.482407	20.761025	20.431991	20.156026	20.222364	20.503635	19.967627	20.291355	20.520308	20.440845	20.386853	20.810401	20.644217	20.422704	20.490574	20.048413	20.161181	20.013615	20.165094	20.433582	20.407369	20.826094	20.580177	20.716302	20.089221	20.520776	20.0193	19.963472	20.114259	20.426426	20.477805	20.221835	20.086919	20.504604	20.119847	19.909431	19.970645	20.18207	19.655262	20.00982	19.732629	20.201617	20.344839	20.303573	19.877342	19.673932	19.682781	20.285267	19.396597	20.109042	19.855233	19.852726	17.81399	13.399674
OSMOTIC_STRESS_T150_SE_REP1	31.447452	19.337967	20.376123	20.321714	12.026994	20.480553	20.868436	19.842565	29.681796	18.038297	25.452822	20.602534	25.191309	24.827998	22.216372	20.75523	19.717074	19.875035	20.136549	20.203243	20.398062	20.644657	21.087826	20.832456	20.940396	20.753475	20.420879	20.26204	20.158488	20.238346	20.761243	20.572974	20.707856	20.745153	20.845127	20.737976	20.657729	20.30652	20.406474	20.325131	20.271655	20.148228	20.630576	20.768674	20.530717	20.771574	20.588951	20.475032	20.418982	20.443253	20.202459	20.411435	20.601854	20.570544	20.442241	20.716888	20.291566	20.286406	20.443688	20.302764	20.179083	20.415399	20.32163	20.547289	20.426061	20.442717	20.456969	20.346083	20.355351	20.279557	20.135925	20.524126	20.331874	20.098413	18.476674	13.855553
OSMOTIC_STRESS_T15_PE_REP1_R1	31.385001	19.308929	20.321647	20.27875	11.890182	20.407442	20.711931	19.756409	29.749007	17.916863	25.425611	20.516789	25.172431	25.07486	22.113249	20.725389	19.653792	19.761456	20.082767	20.173609	20.362021	20.597216	21.074147	20.713991	20.942127	20.669931	20.371383	20.234478	20.162676	20.256918	20.699244	20.509773	20.701169	20.616765	20.786839	20.725883	20.574224	20.370512	20.30689	20.244713	20.235493	20.016852	20.615412	20.683737	20.442494	20.792645	20.474844	20.470654	20.380313	20.344967	20.235705	20.379715	20.575557	20.528536	20.362675	20.798996	20.222992	20.291021	20.393286	20.18291	20.129674	20.293951	20.237391	20.567245	20.237515	20.492556	20.390147	20.31013	20.417589	20.134727	20.118504	20.485498	20.256817	20.031095	18.361651	13.777445
OSMOTIC_STRESS_T15_PE_REP1_R2	31.863603	19.199583	20.384732	20.515948	12.024763	20.339311	20.815389	19.965009	29.64639	18.303782	25.300283	20.449499	25.064767	24.961308	22.320167	20.6295	19.88342	19.743792	19.840522	20.076038	20.317284	20.78784	20.605999	20.737924	20.812477	20.506781	20.305952	20.54964	20.328921	20.602012	20.497543	20.630037	20.717249	20.593024	20.400945	20.595569	20.354342	20.322526	20.327406	20.203808	20.296628	20.278651	20.649115	20.483752	20.527441	20.606445	20.287559	20.30982	20.328319	20.402068	20.133629	20.362986	20.308389	20.399225	20.490877	20.753625	20.549477	20.27756	20.171623	20.027711	20.280303	20.244169	20.17687	20.586633	20.302629	20.374177	20.085816	20.174927	20.481554	20.137475	19.878726	20.136459	20.086395	19.794072	18.307635	13.581998
