Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
OSMOTIC_STRESS_T0_PE_REP1_R1	0.010204	0.0	0.0	0.0	0.0	0.008163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002269	0.004579	0.0	0.009329	0.011835	0.002405	0.004866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSMOTIC_STRESS_T0_PE_REP1_R2	0.014285	0.020408	0.014285	0.006122	0.0	0.0	0.0	0.002041	0.0	0.0	0.0	0.0	0.006122	0.004082	0.004082	0.0	0.002041	0.002041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003039	0.0	0.0
OSMOTIC_STRESS_T0_PE_REP2_R1	0.00992	0.00248	0.0	0.0	0.00248	0.01488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002703	0.002724	0.0	0.011074	0.011189	0.0	0.005693	0.0	0.0	0.002926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSMOTIC_STRESS_T0_PE_REP2_R2	0.01736	0.02232	0.0124	0.0124	0.00496	0.00496	0.00496	0.00744	0.00248	0.00248	0.0	0.0	0.00992	0.00496	0.00496	0.0	0.00248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002799	0.0	0.0	0.005748	0.005799	0.0	0.002953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSMOTIC_STRESS_T100_SE_REP1	0.02783	0.004281	0.0	0.0	0.0	0.006422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006422	0.002141	0.0	0.006422	0.0	0.008582	0.004293	0.002147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002367	0.002387	0.0	0.004861	0.007399	0.0	0.002533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003405	0.0
OSMOTIC_STRESS_T100_SE_REP2	0.037149	0.007961	0.0	0.0	0.002654	0.015921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002655	0.0	0.002657	0.0	0.0	0.002669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002878	0.0029	0.0	0.008837	0.008926	0.0	0.003028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003508	0.0	0.003583	0.0	0.0	0.0
OSMOTIC_STRESS_T150_SE_REP1	0.015796	0.00351	0.0	0.0	0.001755	0.009653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000878	0.005265	0.0	0.0	0.00351	0.001755	0.008778	0.0	0.000878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000936	0.001886	0.0019	0.009574	0.012545	0.003887	0.005874	0.0	0.000993	0.0	0.0	0.002034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0	0.0	0.0	0.0	0.001269	0.0
OSMOTIC_STRESS_T15_PE_REP1_R1	0.00757	0.001682	0.0	0.0	0.001682	0.009252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.001815	0.001829	0.009219	0.012083	0.004681	0.005659	0.0	0.000957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001229	0.0
OSMOTIC_STRESS_T15_PE_REP1_R2	0.021869	0.024393	0.012617	0.006729	0.000841	0.001682	0.000841	0.002523	0.000841	0.000841	0.0	0.001682	0.001682	0.001682	0.0	0.0	0.0	0.001682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002744	0.0	0.001859	0.0	0.0	0.0038	0.004786	0.001929	0.000973	0.0	0.0	0.0	0.004019	0.0	0.00408	0.0	0.0	0.001043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002467	0.0
