Sample	I	II	III	IV	IX	MT	V	VI	VII	VIII	X	XI	XII	XIII	XIV	XV	XVI
OSMOTIC_STRESS_T0_PE_REP1_T1	2414	6829	2972	12359	4197	1950	6474	2810	10159	5096	6794	5793	90079	8061	6662	9648	8040
OSMOTIC_STRESS_T0_PE_REP2_T1	2021	5627	2746	9421	3514	1891	5337	2349	8087	4408	5214	4971	103752	6626	5328	7803	6328
OSMOTIC_STRESS_T100_SE_REP1_T1	1161	3371	1464	6176	2114	961	3236	1427	5121	2556	3379	2884	44830	4014	3296	4765	4035
OSMOTIC_STRESS_T100_SE_REP2_T1	987	2816	1328	4684	1752	944	2679	1138	4019	2121	2636	2431	51657	3270	2664	3898	3142
OSMOTIC_STRESS_T150_SE_REP1_T1	1074	4201	1521	7720	2368	256	3689	1541	6142	3033	3837	3397	36229	4900	3743	5851	4892
OSMOTIC_STRESS_T150_SE_REP1_T2	1120	4301	1490	8018	2327	268	3681	1455	6083	3053	3741	3396	34890	5032	4011	5995	5229
OSMOTIC_STRESS_T15_PE_REP1_T1	2157	8345	3043	15379	4743	508	7321	3034	12313	6128	7637	6785	72453	9838	7552	11705	9775
OSMOTIC_STRESS_T15_PE_REP1_T2	2250	8609	2964	16072	4662	534	7381	2919	12215	6140	7456	6827	69867	10050	8036	12009	10417
