Sample	I	II	III	IV	IX	MT	V	VI	VII	VIII	X	XI	XII	XIII	XIV	XV	XVI	*
OSMOTIC_STRESS_T0_PE_REP1_T1	[2414, 230218]	[6829, 813184]	[2972, 316620]	[12359, 1531933]	[4197, 439888]	[1950, 85779]	[6474, 576874]	[2810, 270161]	[10159, 1090940]	[5096, 562643]	[6794, 745751]	[5793, 666816]	[90079, 1078177]	[8061, 924431]	[6662, 784333]	[9648, 1091291]	[8040, 948066]	[0, 0]
OSMOTIC_STRESS_T0_PE_REP2_T1	[2021, 230218]	[5627, 813184]	[2746, 316620]	[9421, 1531933]	[3514, 439888]	[1891, 85779]	[5337, 576874]	[2349, 270161]	[8087, 1090940]	[4408, 562643]	[5214, 745751]	[4971, 666816]	[103752, 1078177]	[6626, 924431]	[5328, 784333]	[7803, 1091291]	[6328, 948066]	[0, 0]
OSMOTIC_STRESS_T100_SE_REP1_T1	[1161, 230218]	[3371, 813184]	[1464, 316620]	[6176, 1531933]	[2114, 439888]	[961, 85779]	[3236, 576874]	[1427, 270161]	[5121, 1090940]	[2556, 562643]	[3379, 745751]	[2884, 666816]	[44830, 1078177]	[4014, 924431]	[3296, 784333]	[4765, 1091291]	[4035, 948066]	[0, 0]
OSMOTIC_STRESS_T100_SE_REP2_T1	[987, 230218]	[2816, 813184]	[1328, 316620]	[4684, 1531933]	[1752, 439888]	[944, 85779]	[2679, 576874]	[1138, 270161]	[4019, 1090940]	[2121, 562643]	[2636, 745751]	[2431, 666816]	[51657, 1078177]	[3270, 924431]	[2664, 784333]	[3898, 1091291]	[3142, 948066]	[0, 0]
OSMOTIC_STRESS_T150_SE_REP1_T1	[1074, 230218]	[4201, 813184]	[1521, 316620]	[7720, 1531933]	[2368, 439888]	[256, 85779]	[3689, 576874]	[1541, 270161]	[6142, 1090940]	[3033, 562643]	[3837, 745751]	[3397, 666816]	[36229, 1078177]	[4900, 924431]	[3743, 784333]	[5851, 1091291]	[4892, 948066]	[0, 0]
OSMOTIC_STRESS_T150_SE_REP1_T2	[1120, 230218]	[4301, 813184]	[1490, 316620]	[8018, 1531933]	[2327, 439888]	[268, 85779]	[3681, 576874]	[1455, 270161]	[6083, 1090940]	[3053, 562643]	[3741, 745751]	[3396, 666816]	[34890, 1078177]	[5032, 924431]	[4011, 784333]	[5995, 1091291]	[5229, 948066]	[0, 0]
OSMOTIC_STRESS_T15_PE_REP1_T1	[2157, 230218]	[8345, 813184]	[3043, 316620]	[15379, 1531933]	[4743, 439888]	[508, 85779]	[7321, 576874]	[3034, 270161]	[12313, 1090940]	[6128, 562643]	[7637, 745751]	[6785, 666816]	[72453, 1078177]	[9838, 924431]	[7552, 784333]	[11705, 1091291]	[9775, 948066]	[0, 0]
OSMOTIC_STRESS_T15_PE_REP1_T2	[2250, 230218]	[8609, 813184]	[2964, 316620]	[16072, 1531933]	[4662, 439888]	[534, 85779]	[7381, 576874]	[2919, 270161]	[12215, 1090940]	[6140, 562643]	[7456, 745751]	[6827, 666816]	[69867, 1078177]	[10050, 924431]	[8036, 784333]	[12009, 1091291]	[10417, 948066]	[0, 0]
